X\Y,Frame24,Frame26,Frame28,Frame30,Frame32,Frame34,Frame36,Frame38,Frame40,Frame42,Frame44,Frame52
Frame24,354.2156,589.3356,729.3306,549.9177,568.6505,712.126,728.1245,573.8183,632.8565,768.4467,604.7705,-3317.979
Frame26,,631.7773,775.8145,596.4016,615.1343,756.5888,774.6083,618.2811,675.2982,812.9095,635.086,-3305.854
Frame28,,,740.9587,561.5458,580.2785,723.2485,739.7525,584.9408,643.4734,779.5692,612.354,-3314.946
Frame30,,,,756.0422,774.775,909.2885,934.249,770.9808,821.0571,965.6093,739.1995,-3264.208
Frame32,,,,,635.1321,775.7172,794.6061,637.4095,693.5571,832.0379,648.1281,-3300.636
Frame34,,,,,,899.0753,923.5715,760.7676,811.3081,955.396,732.2359,-3266.993
Frame36,,,,,,,928.3583,765.3464,815.6787,959.9747,735.3578,-3265.745
Frame38,,,,,,,,609.8317,667.2329,804.4601,629.3251,-3308.158
Frame40,,,,,,,,,660.9497,797.8777,624.8371,-3309.953
Frame42,,,,,,,,,,819.7978,639.7826,-3303.975
Frame44,,,,,,,,,,,0,0
